mturk_id,persecution_group,combined_reflection,0_d1,1_d1,2_d1,3_d1,4_d1,comprehension,0_d2,1_d2,2_d2,3_d2,4_d2,judgment,0_d3,1_d3,2_d3,3_d3,4_d3,evaluation,0_d4,1_d4,2_d4,3_d4,4_d4,final_decision,0_d5,1_d5,2_d5,3_d5,4_d5,confidence,MP_human_1_score,0_d1,1_d1,2_d1,3_d1,4_d1,comprehension,0_d2,1_d2,2_d2,3_d2,4_d2,judgment,0_d3,1_d3,2_d3,3_d3,4_d3,evaluation,0_d4,1_d4,2_d4,3_d4,4_d4,final_decision,0_d5,1_d5,2_d5,3_d5,4_d5,confidence,MP_human_2_score
AYVNBNVR4NO6T,low,No. ; I just aimlessly guessed.,0.9,0.1,0,0,0,0.1,0.9,0.1,0,0,0,0.1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.04,0.9,0.1,0,0,0,0.1,0.9,0.1,0,0,0,0.1,0.9,0.1,0,0,0,0.1,0.9,0.1,0,0,0,0.1,0.9,0.1,0,0,0,0.1,0.1
AYGGBBDSQP21G,high,no ; no,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
A28FDHF2PY98K1,low,"I tried to time the ""switch"" of the best deck. At first I switched decks on the second draw of a -50 card. ; I switched to trying to count how many cards were drawn on average before the best deck switched, and then to switch after I drew that many (9 or 10) before drawing a -50 card.",0,0,0,0,1,4,0,0,0,0.2,0.8,3.8,0,0,0,0.8,0.2,3.2,0,0,0,0.1,0.9,3.9,0,0,0,0.1,0.9,3.9,3.76,0,0,0.1,0.8,0.1,3,0,0,0.1,0.2,0.7,3.6,0.7,0.2,0.1,0,0,0.4,0,0,0,0.1,0.9,3.9,0.1,0.2,0.4,0.2,0.1,2,2.58
A3LXD82BMSRT2F,high,I kept the same choice unless it resulted in -50 with a high frequency. ; No,0,0.2,0.8,0,0,1.8,0,0,0.8,0.2,0,2.2,0.1,0.4,0.5,0,0,1.4,0,0,0,0.1,0.9,3.9,0,0,0,0.2,0.8,3.8,2.62,0,0,0.3,0.7,0,2.7,0,0,0.1,0.1,0.8,3.7,0.8,0.2,0,0,0,0.2,0,0,0.1,0.2,0.7,3.6,0.8,0.2,0,0,0,0.2,2.08
A17T6TVHCLK3MH,low,"I tried to watch which one came up with 100 the most. ; Yes. If one stopped coming up with 100, I would try another one.",0,0,0.8,0.2,0,2.2,0,0,0.8,0.2,0,2.2,0,0.6,0.4,0,0,1.4,0,0,0,0.1,0.9,3.9,0,0,0,0.1,0.9,3.9,2.72,0,0,0.1,0.1,0.8,3.7,0,0,0.2,0.3,0.5,3.3,0.4,0.3,0.2,0.1,0,1,0.1,0.2,0.4,0.2,0.1,2,0.8,0.2,0,0,0,0.2,2.04
A3GHXWLVYPFZKQ,high,I stuck with the one that gave +100 until I saw -50 in which i'd try two more times before switching. ; Only the first time when I stuck to the strategy in Q12.3.,0,0,0.1,0.8,0.1,3,0,0,0,0.4,0.6,3.6,0,0,0.1,0.8,0.1,3,0,0,0,0.1,0.9,3.9,0,0,0,0.1,0.9,3.9,3.48,0,0,0,0.1,0.9,3.9,0,0,0.1,0.3,0.6,3.5,0.1,0.2,0.4,0.2,0.1,2,0,0,0,0.1,0.9,3.9,0.7,0.3,0,0,0,0.3,2.72
A55TVOL4JWIAY,high,Just moving around trying to figure out where the 100 was. ; Yes.,0,0.7,0.3,0,0,1.3,0.1,0.3,0.6,0,0,1.5,0.9,0.1,0,0,0,0.1,0,0.3,0.7,0,0,1.7,0,0.3,0.7,0,0,1.7,1.26,0.1,0.2,0.4,0.2,0.1,2,0.1,0.1,0.2,0.3,0.3,2.6,0.8,0.2,0,0,0,0.2,0.1,0.2,0.4,0.2,0.1,2,0,0.1,0.1,0.6,0.2,2.9,1.94
A3JI3B5GTVA95F,high,"I just went by selecting the individual who seemed to give positive results, and then trying others when that one became negative. ; I don't think so.",0,0.3,0.7,0,0,1.7,0,0.4,0.6,0,0,1.6,0,0.9,0.1,0,0,1.1,0,0,0.7,0.3,0,2.3,0,0.4,0.6,0,0,1.6,1.66,0,0,0.1,0.2,0.7,3.6,0,0,0.1,0.4,0.5,3.4,0,0.1,0.3,0.5,0.1,2.6,0.1,0.4,0.2,0.2,0.1,1.8,0.1,0.2,0.4,0.2,0.1,2,2.68
A3TQD8CNO16IZK,high,I simply tried to find a more reliable partner when my current partner started giving me negative points. ; I did not change my strategy over the course of the game.,0,0.3,0.7,0,0,1.7,0,0.3,0.7,0,0,1.7,0,0.8,0.2,0,0,1.2,0,0,0.6,0.4,0,2.4,0,0,0.1,0.8,0.1,3,2,0,0,0.1,0.3,0.6,3.5,0.6,0.2,0.1,0.1,0,0.7,0.1,0.2,0.2,0.4,0.1,2.2,0,0.1,0.2,0.6,0.1,2.7,0.7,0.3,0,0,0,0.3,1.88
A1KTZE679PHSFQ,low,"I tried to find patterns in who to trust after getting rejected. ; Yes. First I tried finding patterns in the interval of successful projects, then i tried finding patterns in the number failures, later I tried working out which partner would be the next one to be successful.",0,0,0.1,0.8,0.1,3,0,0,0.1,0.2,0.7,3.6,0,0.3,0.6,0.1,0,1.8,0,0,0,0.6,0.4,3.4,0,0,0,0.3,0.7,3.7,3.1,0,0.1,0.5,0.3,0.1,2.4,0.8,0.2,0,0,0,0.2,0,0.2,0.3,0.4,0.1,2.4,0.1,0.7,0.2,0,0,1.1,0.2,0.5,0.3,0,0,1.1,1.44
A1H2UHJ78F185L,high,I tried to predict which classmate provided the most points by going back and forth ; no,0,0.7,0.3,0,0,1.3,0.1,0.4,0.5,0,0,1.4,0.2,0.8,0,0,0,0.8,0.3,0.7,0,0,0,0.7,0.2,0.4,0.4,0,0,1.2,1.08,0,0,0.1,0.2,0.7,3.6,0.9,0.1,0,0,0,0.1,0.7,0.2,0.1,0,0,0.4,0.1,0.5,0.3,0.1,0,1.4,0.5,0.3,0.2,0,0,0.7,1.24
A1E7IRBPHID9JC,low,"If a card was a loser 2 times in a row, I selected another deck. ; In the beginning, I switched after 1 losing card. Then I switched to 2 losing cards in a row.",0,0,0.9,0.1,0,2.1,0,0.2,0.7,0.1,0,1.9,0.1,0.6,0.3,0,0,1.2,0,0,0.7,0.3,0,2.3,0,0.2,0.7,0.1,0,1.9,1.88,0,0,0.1,0.2,0.7,3.6,0,0,0.1,0.1,0.8,3.7,0.8,0.2,0,0,0,0.2,0,0,0,0.2,0.8,3.8,0.8,0.2,0,0,0,0.2,2.3
A2B227N1NQYS56,low,"Yes, if a deck retarded a -50 value 3 out of 5 times, I'd test another one. ; No.",0,0.1,0.7,0.2,0,2.1,0,0.4,0.6,0,0,1.6,0.1,0.7,0.2,0,0,1.1,0,0,0.2,0.7,0.1,2.9,0,0.2,0.7,0.1,0,1.9,1.92,0,0,0.1,0.1,0.8,3.7,0,0,0,0.1,0.9,3.9,0.7,0.2,0.1,0,0,0.4,0,0,0.2,0.2,0.6,3.4,0.9,0.1,0,0,0,0.1,2.3
A3DGJYQPEQBCEK,high,No ; No strategies,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
A1PZIN8H1VI6SY,high,dont use any ; i dont think so,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
A256BNNQRDR4LZ,high,"No ; Yes, change the card points...I have confuse it...But this is very expected to earn the points",0.4,0.6,0,0,0,0.6,0.2,0.8,0,0,0,0.8,0.9,0.1,0,0,0,0.1,0.9,0.1,0,0,0,0.1,0.2,0.8,0,0,0,0.8,0.48,0.5,0.3,0.2,0,0,0.7,0.8,0.2,0,0,0,0.2,0.7,0.3,0,0,0,0.3,0.6,0.3,0.1,0,0,0.5,0.2,0.3,0.4,0.1,0,1.4,0.62
A3EQR9C0L23O6E,low,I kept going back to the same partner if I got +100 ; no,0,0.9,0.1,0,0,1.1,0,0.1,0.8,0.1,0,2,0.2,0.8,0,0,0,0.8,0,0,0,0.1,0.9,3.9,0,0,0,0.1,0.9,3.9,2.34,0,0,0.1,0.2,0.7,3.6,0,0,0.1,0.2,0.7,3.6,0.6,0.4,0,0,0,0.4,0,0.2,0.3,0.4,0.1,2.4,0.8,0.2,0,0,0,0.2,2.04
A3AIRKDB2DMC7U,high,I tried to pickup on any patterns and use those patterns correctly to guess right ; I used the same strategy throughout the game by watching the patterns that I picked up on.,0.2,0.8,0,0,0,0.8,0,0.8,0.2,0,0,1.2,0.1,0.9,0,0,0,0.9,0,0,0.8,0.2,0,2.2,0,0.5,0.1,0.2,0.2,2.1,1.44,0,0,0.1,0.2,0.7,3.6,0.8,0.1,0.1,0,0,0.3,0.8,0.2,0,0,0,0.2,0.8,0.2,0,0,0,0.2,0.3,0.5,0.1,0.1,0,1,1.06
A1JJYY622DGE5L,low,I tried to select the same person as long as i was getting postive scores then i tried to figure out a sequence ; ,0,0.9,0.1,0,0,1.1,0,0.4,0.5,0.1,0,1.7,0.1,0.8,0.1,0,0,1,0,0,0.8,0.2,0,2.2,0.5,0.5,0,0,0,0.5,1.3,0,0,0,0.2,0.8,3.8,0,0,0.1,0.3,0.6,3.5,0.7,0.3,0,0,0,0.3,0.1,0.2,0.4,0.2,0.1,2,0.7,0.2,0.1,0,0,0.4,2
A3LC6M2EMDBBXP,low,"nothing in particular ; No, I played the same way throughout each game",0.9,0.1,0,0,0,0.1,0.9,0.1,0,0,0,0.1,0.9,0.1,0,0,0,0.1,0.1,0.9,0,0,0,0.9,0.5,0.5,0,0,0,0.5,0.34,0.9,0.1,0,0,0,0.1,0.7,0.3,0,0,0,0.3,0.9,0.1,0,0,0,0.1,0.8,0.2,0,0,0,0.2,0.9,0.1,0,0,0,0.1,0.16
A1OB3NPURPFKVZ,high,I would switch to another person after I got a negative score but then go right back to the partner that was giving me a score to see if they just needed a break or were having a bad day. ; No,0,0,0.8,0.2,0,2.2,0,0,0.6,0.4,0,2.4,0,0,0.1,0.8,0.1,3,0,0,0.2,0.7,0.1,2.9,0,0,0.2,0.7,0.1,2.9,2.68,0.1,0.2,0.4,0.2,0.1,2,0,0,0.1,0.1,0.8,3.7,0,0,0.1,0.2,0.7,3.6,0.7,0.3,0,0,0,0.3,0.8,0.2,0,0,0,0.2,1.96
A39KUEDR8ZS1CF,high,"Yes. I chose the reliable person till the person failed me. Then I guessed the next reliable person. ; No, I didn't.",0,0.6,0.4,0,0,1.4,0,0.6,0.3,0.1,0,1.5,0,0.7,0.3,0,0,1.3,0,0.4,0.5,0.1,0,1.7,0,0.2,0.7,0.1,0,1.9,1.56,0,0.1,0.1,0.3,0.5,3.2,0,0,0,0.3,0.7,3.7,0.8,0.2,0,0,0,0.2,0,0,0.3,0.6,0.1,2.8,0.6,0.3,0.1,0,0,0.5,2.08
A1FLNAFLLO3UPK,low,Three negatives in a row caused me to switch to another card. ; Not really.,0,1,0,0,0,1,0.7,0.3,0,0,0,0.3,0.1,0.9,0,0,0,0.9,0,0.1,0.8,0.1,0,2,0,0.4,0.6,0.1,0,1.9,1.22,0,0,0.1,0.3,0.6,3.5,0,0,0.1,0.3,0.6,3.5,0.9,0.1,0,0,0,0.1,0.3,0.4,0.3,0,0,1,0.8,0.2,0,0,0,0.2,1.66
